,reviews
228,"This is a little belated, but after a visit to the Kimpton Allegro the end of October for the Society for Neuroscience meeting, I would NOT recommend this hotel. My co-worker, SC, had her wallet stolen out of her purse, in the lobby, during the complimentary proseco happy hour. The manager, Todd, was incredibly rude, demeaning and dismissive about the incident. He really couldn't have cared less that SC was stuck, 600 miles away from home, without any money or identification. SC had a very clear timeline because of Uber receipts and credit card activity, making it only possible that the wallet was stolen in the lobby, in clear view of at least 3 security cameras. At first she was told the table where we were sitting was out of view of the cameras. Then she was told they could"
229,"Fabulous staff, lovely rooms with the best beds in town, perfect location. . . . What's not to love? Oh, and reasonable prices. I don't stay anywhere else in Chicago. Very easy access to public transportation. If you don't have a coffee pot in your room, ask and they'll bring you one. Thanks, David!"
230,"As a former SPG platinum, I have yet to experience service that has wowed me like SPG used to do - but I have now found my place.  The Kimpton is a beautiful space with friendly staff.  Leah was a delight at the front desk and the room was modern and clean. I love the yoga mats in the room and sipping the complimentary bubbles in the cozy lobby at the happy hour.  Definitely recommend this spot."
231,"One of my favorite hotels in the Chicago area, the design is gorgeous and the rooms are quiet and comfortable. The fitness center has a wide variety of options including a Peloton bike which was fun to try. Also any hotel with a Prosecco hour every night is a winner in my book. Highly recommend this hotel to those coming to Chicago for work or pleasure."
232,"Decent hotel but how you don’t have bottled water for purchase in your lobby is extremely annoying and inconvenient. This is my 2nd visit (only hotel in Chicago my company allows us to stay at) and I come back to the hotel late at night every evening and nothing is open in the vicinity. I can either: bring a glass or two of water up to my room from the lobby which is difficult with bags, squeeze my way into the bar and purchase one for $4 or purchase one in room for $6 for which our company audits us. Please offer water bottled water in your lobby to grab and go."
233,"This hotel was gorgeous. Yes the valet is a little overpriced, but the staff was on point and so friendly. We absolute loved the fact that they allowed our furry companions without a fee! They even had a doggy bag waiting!  As for the room, there are a few extras that I wish were available such as an empty fridge, a microwave and some better pillows. The bed wasn’t the most comfortable compared to other hotels.  Overall it was great, just a few things that we could have used."
234,He had a great stay at Hotel Alegro. The entire staff was fabulous and attentive. Fun Prosecco reception at 5 pm in upbeat bar/lounge area. Great location in the loop and close to lots of attractions and great restaurants. Rooms were classy with all the amenities. We love all Kimpton properties.
235,"Can’t recommend highly enough. Great room, wonderful amenities. Fitness room well-equipped and clean. Restaurant was terrific. Fantastic location. Particularly appreciate Leah who checked me in and paid a lot of attention toward making sure my stay was incredible. Friendly staff, gorgeous property and décor."
236,"I stay at Kimpton properties a lot when I travel for work and my experience with the Allegro was very much in line with other Kimptons - service is great, location is usually good, and, under the guise of “boutique,” there are usually strange things about the rooms that can just make them difficult or uncomfortable. At the Allegro, it was the lighting. The room was very small, which is not unusual for city hotels, and my first room looked straight out to a brick wall only a few feet away. The walls were covered in dark blue wall paper and the only lights were a glare-y ceiling fixture and two very dim wall sconces on either side of the bed. I asked for another room, and was put in almost the same room but on a higher floor so I at least had some daylight in the morning. The"
237,"The stay was short sweet and great. The room was great had a delightful smell as well. The check in was smooth and quick, Leah greeted us with a friendly smile and a warm welcome very friendly. The concierge Josh was great gave great directions."
238,"Great location, beautiful property. Two things for a business traveler... After a long narrowing travel day, coming to a place where businesses surrounding are mostly closed + the restaurant not having room service is a minus. Second, the room had a dirty bath towel that either had make-up stains that was kind of gross to deal with it and made me question the hygienic conditions!"
239,"From the moment I walked in the door I was greeted with smiles - Rubie at the desk made me Feel comfortable and eddies I was truly impressed, I checked in around 515 doing wine hour, there was a bellman standing and he was extremely friendly I forget his name but he surprised me with a bottle of champagne to my room because I had such a crazy day trying to get their awesome awesome service.… I got a follow up call later on from Deja, just checking on me and making sure that all was OK, she seemed genuine and sincere.  the hotel Decour was very relaxing. 515 during wine hour, there was a bellman standing and he was extremely friendly I forget his name but he surprised me with a bottle of champagne to my room because I had such a crazy day trying to get there awesome awesome"
240,GSA Kay was very helpful in helping us get a room. Bellman Ishmael was very helpful and pleasant. The room was a nice size and that there was a refrigerator in the room. We were happy with the room and would love to visit again. 
241,"It's a bit dizzying how many hands through which the Ambassador has passed since it's PUBLIC CHICAGO rebranding nearly ten years ago.  The turnover rate of the hotel employees was high and the service was varied, though always well intended.    Hopefully, with the Hyatt brand inheriting the property, there will be consistency and believe me when I say that this is the consistency the property has always deserved.  The property itself is gorgeous with a stunning chandelier in the lobby and modern decor.  My favorite room layout is the one bedroom, which feels more like an apartment than the loft. The decor is the only thing that's been changed and it feels like a downgrade from a sexy hotel to a suburban mom decorated hotel.  Ambassador used to be a great place to have a date,"
242,Good for what we needed which was a night out in the Old town bar area. Easy walk to and from lots of great bars. The building and room were a bit older but still clean enough. Might not do an extended stay but it was a clean room in a great location 
243,"We were heading to a concert at the Aragon ballroom and decided to try this hotel out. Fantastic, great service, clean rooms and very modern. Low beds but overall very comfortable. Located greatly near 3 arts cafe. Nice bar downstairs and breakfast was semi self service. All in all a great experience. "
244,I received excellent service from Kay she was very professional when I needed assistants and very nice and caring.she has an outstanding personalty and very fun to talk to I most definitely will be visiting again
245,The hotel was beautiful with very great staff to go with it. The only problem i had at this lovely place was with paying for a room i did not intend on staying in. I was charged more money not aware of the price told to me after already i booked.
246,Checked in to this hotel last week from out of town and the clerk Kenya have a awesome attitude and very helpful. Any questions I asked she was able to answer instead of telling me she don't know. Thanks again
247,"Stayed in this hotel for NBA ALL STAR WEEKEND. Overall my stay was great. The hotel has warm cozy feeling vibe the minute you step in. I had a superior queen room which I found a little too small for my liking. The location is great! 3 mins walk from the Clark/Division subway station. Walking distance from the Michigan Ave (Magnificient Mile)   The only cons during my stay was the noisy hotel guests! There was one couple who fought during the night of Valentines Day and the following Saturday night. I had to go shut them out on both nights. Also on Sunday night, another guest was playing loud music. Lets say that I didnt get much sleep during my stay! Also the heating fan was very loud! It would stop and go back on randomly :/   PROS: Friendly staff and very comfortable bed! "
248,"This is probably the best hotel in North America, not just because of the location and the facility, it's also because of the culture the staff itself offers and promotes, the hotel front desk has super stars like Ms Kay, who go an extra mile in making up your day even though they don't have to do it. The night supervisor Mr. Kenny is kind and understanding and the bar tender Mr. Timmon is a Rockstar mix master, the lobby and the elevator have lively classic blues playing and its truly a miracle how the staff keeps the place sparkling clean and warm and never gives you a feeling of being away from home. This hotel has everything right, the bedding, the food, the bar and the music but most of all, the people. Ehind all this are the embodiment of perfection, kindness, compassion,"
249,"This was our first trip to Chicago! We stayed at the Ambassador and enjoyed our stay! Beautiful hotel with a very cozy feel. Great breakfast in the hotel and excellent service. There is also a cozy bar. Close to shopping and restaurants ,the Valet service is also excellent there!  Any request is handled with a smile. I highly recommend The Ambassador!"
250,"While checking in, my husband and I witness and interaction between a front desk clerk and a disgruntled guest. He was being a complete jerk, slamming things down on the desk and calling the clerk out of her name. I think her name is Kay stayed calm and very respectful, offering to help the guest solve his issue. Not once did she raise her voice or sound angry( I was angry for her). She remained professional and friendly. My husband said he was going to offer her a job. We work in the public sector and we have never seen anyone handle that situation with such finesse."
251,I would like to send this review out to the Front Desk staff especially Miss Kenya. Everyone was friendly and professional but her attentiveness to any detail was outstanding. Not only to myself but to my work colleagues. And I wanted to bring her work ethic to your attention.   I definitely will return and recommend staying there to my other colleagues.  
252,"I picked this hotel as a weekend getaway for my girlfriend and I, and it was wonderful!  The front desk lady Kay (nice on the eyes by the way) was very professional. The service was top notch, from check in to check out, I cannot express what this weekend meant to us. We felt like royalty! The hotel was beautiful, the room was gorgeous and clean and the service was excellent.  We were just amazed at how wonderful Kay was, and the rest of the staff, but Kay stood out the braids-maid that's looking better than the bride!  Statuesque.  I have absolutely fallen in love with this hotel and yes, yes, yes, yes, we will be back!"
253,"Kay and the rest of the staff were friendly and extremely helpful from the moment we checked in through departure. The location is great, walking distance to the best the city has to offer. Will definitely return on a future visit!"
254,"Every aspect of this hotel was wonderful during our stay. We chose this hotel for our wedding so we could have a central location for our rehearsal dinner and wedding in the city. From the very beginning Maya Dykema was very warm and accommodating. She made sure everything we needed was provided and the hotel employees were kind and prompt with their service. She was absolutely terrific to work with. Our family stayed here as well and they were impressed with how much the hotel went out of their way to make us feel at home. The service was perfect. That coupled with how beautiful this hotel is makes this place the perfect hotel in the city, regardless of what you're looking for."
255,"I live in the neighborhood and had to stay overnight at a hotel and picked the Ambassador Chicago, since I walk past it almost every day.  It's such a beautiful boutique hotel in the Gold Coast of Chicago with so much history, that I thought it would be great to stay there.  The entire staff, especially Vidal Moran, the Director in the front office, were so wonderful.  They even had a special welcome bag for my little doggy Juliette including treats and a foldable bowl.  So adorable! The guest room I stayed in with a King bed (that was so comfortable) was huge!  If you haven't seen the hotel take a walk through it.  It's fabulous! I loved it and I highly recommend this to anyone traveling or just wants to stop in for a drink or dinner!"
256,I was there for my anniversary with my husband and miss Kay 🤑 she was very patient and hospitable she even showed us how to catch the bus and the train how to download Uber  app on her phone but while waiting in line she had a very very nasty guest in front of her and what got me the most was she continue to smile and be professional and polite to the guest even though they were jerks Miss Kay is the greatest of all time.   Mr&Mrs Happy Guest
257,"My daughter and I stayed at this hotel (which we’ve stayed at before and love!) in December. She’s a college student in Chicago so we left a bag with the hotel and spent her break in Colorado with the rest of our family. When she came back on her own to pick up the bag (the rest of us live overseas so we were gone by then), she forgot her bag ticket. But Wayne and Kay were incredibly helpful and gracious, and remembered my daughter! They stored her bag for the entire time and made sure nothing happened to it even though she was a few days late on picking it up.  Great hotel with great staff."
258,This hotel is amazing to spend time in Chicago. The one bedroom suite is very spacious and beautiful like photos. Especially Kay and Wayne were so helpful and made my day :) Me and my family truly had amazing time here and will definitely come back :)
259,"A few weeks ago, my (now) fiance and I returned to stay at the hotel where we first met--and he proposed! I was immediately struck by the kindness and high level of customer service provided by everyone, from the hilarious bellhop and attentive bartender, to the welcoming front desk staff and managers. The hotel is so elegant and unique--it's completely modern yet has so many restored vintage touches. Even the toiletries are luxurious! We loved our room--the views were stunning and the bed and couches were super comfortable. The bar is also fantastic, and there are a few really cool lounge areas near the lobby where you can hang out.   The staff went WAY BEYOND ""above and beyond"" to put together a romantic and wonderful night's stay for us. Their employees bent over backwards to"
260,Found hotel through TripAdvisor. Great location . Walking distance to many restaurants and Lake Michigan .  Room was very nice . Receptionist Natalie was extremely  pleasant and helpful . Good experience. Will stay again
261,"Kay was fantastic! Kay is an employee at Gold Coast (Chicago) Ambassador and she made the experience at her property an outstanding one. I recommend this brand of hotel and this particular property for those traveling to Chicago (downtown) whether locally or internationally. The property is very clean, the staff is very professional (Kay), and the bar area, including fireplace, really sets the tone and ambiance for a cozy and memorable stay. Kay made it a great stay! I hope she continues to receive opportunities to grow within the Ambassador brand, and even if she decides to change companies... I know she will be an outstanding asset and leader. Thank you, Ambassador Chicago. Thank you, Kay!"
262,My husband and I came to this hotel on a weekend trip for a wedding.  Check in was easy and the concierge had a lot of information/fun facts about Chicago which made out short stay fun. He recommended pizza which was spot on! (Thank you for that)  The room was clean and cozy. My husband and i particularly liked the toiletry. I know that’s something many people don’t really comment on that but the quality of it was worth mentioning.
263,"I surprised my wife with an impromptu Chicago getaway for our 15th wedding anniversary. Our stay at the Ambassador Chicago was beyond my expectations. The class, the service, the amenities were on point. A special thanks to Kay at the front desk. Her knowledge and expertise provided that extra plus that made this getaway unforgettable."
264,My family and I recently stayed at The Ambassador Chicago on a Thanksgiving family holiday trip....... from the front door welcoming staff to the attentive and prompt housekeeping personnel ... we were treated so graciously... lovely staff all the way around I would highly recommend this hotel and have stayed here many times and received consistent superb customer service... and our family dog also loved the stay!😘😍😘😘😍😘
265,"The Ambassador Hotel is a tucked-away gem. It is perfect. The staff is profecient, cordial, professional and kind. The rooms are lovely and comfortable. The pillows are incredible (hint to management: buy more than you need and offer to sell them to guests). It is now my go-to hotel in Chicago."
266,"Myself and my husband essentially lived in The Ambassador in the lead up to our destination Chicago wedding -- therefore I believe our lengthy stay warrants a very much deserved review. The aesthetic of the hotel is breathtaking, the ambience in each public space feels fitting, the guest rooms are modern, comfortable, clean and calming. Ishmael, Kay, Natalie, among all others on staff, are spectacular -- they went above and beyond helping us and most of our wedding guests with endless luggage, questions, issues. The hotel manager kindly sent us a bottle of bubbly and strawberries upon our arrival, and when our guests began to arrive, Ishamel and the others had more bubbly and goodies sent to our room. We have and will happily return."
267,"The ambassador hotel is a beautiful and elegant hotel in Chicago. We were wowed by the service. Ms. Kay checked us in, it was seamless and professional. We let her know we just got married and she was so excited for us. In her power she was able to send us a charcuterie plate with a congratulations card, wishing us a beautiful marriage. Overall would recommend 10/10 thank you Kay, Ishmael the doorman and Jose the Secuirty man, for your help throughout our stay!"
268,"Just stayed a couple of weeks ago on October 4th-9th and I loved it. Kay at check in was awesome, she was very helpful and friendly. Mrs. Teresa Quito who cleaned my room every day was more than outstanding, she is been working there for 14 years and she talk about her job like if it was her first day. Another employee who is proud to work there is Kenny at front desk, I Chek out and he assisted me at 4 am and told me the History of the hotel. Next time I visit Chicago I will definetily stay at this great Hotel. Thanks for made me feel at home!!!  Me gusta  Compartir"
269,"My husband and I decided to visit for a  weekend getaway and chose the Ambassador. It was a great decision. We loved the location, convenient to restaurants and shopping in the Gold Coast. It's also right near the North end of Michigan Avenue's Magnificent Mile.   The staff were exceptionally warm, welcoming and knowledgeable. Everyone we met from the Bell Staff and Front Desk, to the bar and Housekeeping, they were all kind and hospitable.  The room was nice and the hotel has the charm of years past combined with modern amenities. We especially enjoyed the Keurig in the room and the bathroom toiletries.   We had drinks at the bar and grab and go breakfast in the Library, both were great. The drinks were delicious and the grab and go breakfast was ideal for a quick, tasty bite."
270,"I LOVE the Ambassador. It's my home away from home. The beds are extremely comfortable and the rooms are super clean. I love the ambiance of the hotel, they have an amazing entrance lobby, library room and bar on the first floor.   The staff is exceptional- Kay always makes me feel welcome with her big smile and warm personality. Everyone is very attentive with their service. I cannot say enough good things about the staff.   I stay in Chicago often and would only stay here. I highly recommend this as your go to for a business or vacation travel."
271,"My experience is a unique one. Not everyone’s Dad worked at the Ambassador in the 60’s. I grew up hearing the Sinatra, Kennedys, Garland, and even Lassie stories of staying at the Ambassador. I felt like I knew every inch of the property, but yet as an adult, had never stayed there. Decades (I mean, decades) later, I stayed there for the first time. I couldn’t help my emotions and told Kay at the front desk my story. She seemed as excited as I was, and I felt so welcomed by her reaction, almost as if I was coming home. My husband and I settled into our room when room service knocked on the door. I told my husband that they probably made a mistake so I would let them know. The young man said that “This was for Ingrid”, and I said that there must be a mistake and he insisted that"
272,Hotel interior is gorgeous! You guys did an amazing job with the renovations- Restaurant happy hour is perfect! And Kay at the front desk welcomes me with a smile and makes me laugh after a long day of traveling every time! She is fantastic.   
273,"I've been to Chicago over a dozen times and rarely decide to stay in a luxury hotel, but two weeks ago I decided to try something new. I am glad I did! The room was spectacular and so comfortable yet luxurious, and I really felt like I made the right decision. Aside from the amenities, I also really appreciated the kind staff. While everyone was wonderful, I particularly enjoyed a bellman who helped me out named Ismaeel! This young man so warm, friendly and funny I instantly felt like I already knew him. On top of that, he did an excellent job with my bags. Just a great example of the quality staff at The Ambassador!"
274,"The Ambassador is a lovely, charming hotel with hints of glamour the moment you walk into the front doors. It's located on the Gold Coast and is tucked away on a residential street in a neighborhood that's excellent for walking.   The hotel lobby, library, and bar are lovely. There was a fire in the library when we arrived, which was quite welcoming. Our rooms (we had a celebrity suite + attached room, as well as another room down the hall) were clean, airy, bright, and well-appointed. We loved the toiletries. The beds were super comfortable, the rooms spacious. The views were terrific - all city!   The Ambassador is in a great location for a lot of walking - you can easily walk to a variety of shops, bars, restaurants, and the Magnificent Mile.   Finally, the staff was"
275,"This was my first stay and from the moment my cab arrived the staff were delightful. Every single individual I interacted with was friendly, courteous and paused to interact with me. It has been a long time since I’ve experienced such warm service.  The room was clean and functional. Secure elevator service. Bath tub. Efficient room service that exceeded my expectations.  I will stay again for sure."
276,Kay checked us in quickly and was friendly and very helpful.  Kay was very upbeat and helpful.   The location can not be best. The Gold Coast has it all. Shopping and food. Quick walk or Uber to Michigan Avenue.
277,"Let’s start with the positive aspects: Location - Gold Coast far enough away from loud city street noise in a residential area Historic building with great architecture  Friendly housekeeping and bellman staff Clean room with comfortable bed & temperature control though small  Well stocked mini bar   Negative aspects: Paper thin walls so you can hear everything in the next room at all hours  Spotty front desk staff in terms of friendliness and competence- examples: Upon checking in we were told the driver room was not ready. We were asked to leave my cell phone so that the front desk a call when the room was ready. They never called. First morning, after calling at 6 AM when our next room neighbors were in ordinately loud, I was told that they could call to ask them to turn down"
278,"It was quiet and in a wonderful neighborhood, the Gold Coast but we could walk to downtown. Our room was lovely and spacious. Hotel staff was very helpful in all respects. It wasn't too expensive. All told, a great place to stay when in Chicago. Only drawback was the lack of a restaurant but we heard they are going to restore the restaurant in the future."
279,"I stayed at the Ambassador last month for a long weekend while in Chicago for a wedding.  The hotel is on a quiet street in a nice neighborhood, and a short walk away from restaurants and entertainment. Our room was spacious, clean and made when we arrived. We were greeted our first evening by Kay at the front desk. She stuck out as a highlight of our trip- welcome us back every time we saw her, giving great local tips and cracking jokes. Thank you, Kay for making our weekend! We will be back!"
280,"I traveled to Chicago to attend a friend's bday party. This was the closest major hotel to the venue. Decent room with a king bed, large closet. The bed was interestingly lower to the ground. The fitness room in the lower lobby is small, only has 2 treadmills, one elliptical, two weight machines and dumbbells. The neighborhood is residential, so don't expect to walk out into city life with stores, restaurants, etc... "
281,"I usually don't write reviews,I travel a lot, meet a lot of people. After hotel after hotel, services and fake smiles are the same, util I stayed at Ambassador Chicago! The level of service that I received from Kay was beyond exceptional. Kay really made my stay pleasant, she has given me a new hope with staying at different hotels. I will now, expect anything less. This was the BEST experience I have ever had while traveling for work. Not only was Kay attentive to all of her guest needs, she made me feel as if I was her only guest in the 200 + room hotel. Ambassador Chicago is my new home, when traveling to Chicago. My room was nice, nice decor. However; it was the service I received from Ms. Kay, that made my stay worth the travel. I didn't even mind the colder weather in"
282,"This hotel, in the near North Side, is within easy walking distance of the miracle mile. They do have on-site parking available, but it’s expensive as it is everywhere in Chicago. We’ve now stayed there three times and each time the experience was wonderful.  The staff has always been very friendly and courteous, housekeeping has been exceptional. The rooms are very well appointed and spotless from a housekeeping standpoint.  We have not eaten there but for their standard breakfast sandwich and coffee fare. What is unusual is the reasonable price of the breakfast sandwich. It was very good too. In downtown Chicago you almost expect to pay more than average.  In addition, they have a nice bar wHich  is quite popular. Again, this was a family visit so we didn’t partake.  For"
283,"I loved this hotel. Quiet area and rooms, the room itself is quaint. The selection of in room amenities is very impressive. Is also appreciate their commitment to eco friendly processes. I would absolutely recommend this hotel to anyone."
284,"The rooms are clean and have lots of space, the hotel has a charming fireplace, good options to buy breakfast inside the hotel and a very nice bar. The staff was extremely nice. Location is good for dining but a bit far from downtown."
285,"My boyfriend and I were greeted by Ms.K front desk receptionist. She was extremely friendly and very  in tune to my mood and needs. After one delay after another while traveling to the hotel, I was exhausted. Finding out that our room was not ready only made matters worse. I expressed my frustration but Ms.K remained calm and sympathized with me and upgraded our room.which was magnificent. Just talking to that young lady put me ino  a better mood. I wish more people who deal with the public could posses her attitude and willingness to help others"
286,"Nothing per se wrong with the establishment, but I wouldn't say it truly excels in any area either. Room was clean, but quite boring and lifeless. Hangers in the bathroom weren't tightly screwed and they were dangling from the wall as if the lightest load will be too much for them. Shower head was funny and hard to operate. Breakfast was quite terrible (if you are staying there, go to the 3rd Coast which is just 100m away). Staff is indeed helpful. Nevertheless, an average hotel with an average experience."
287,"My husband and I celebrated our 2 year anniversary and we decided to stay here overnight as a mini getaway. This was the best choice we could have made. Our first encounter was with the front desk staff member named Kay who presented us with stellar services from the moment we arrived. She was friendly, helpful and over accommodating. She made immediately feel welcomed. The hotel decor is beautiful, the staff was excellent, the food is delish and the rooms are next Level clean, even the housekeeping staff was excellent. We loved the view and we will definitely be returning for another stay in the future. As a lifelong Chicagoan, this is definitely a gem."
288,"Easy and enjoyable walk to Michigan Avenue, excellent staff, delicious food.  Lots of lovely homes, restaurants, shopping in this district.  There is a view of Lake Michigan from street in front of the hotel entrance."
289,"hotel was crowded (peak time July I suppose). the service was excellent, from the front counter staff being so helpful and friendly to the cleaning staff. Location is awesome- just 2 blocks from the beach."
290,"A colleague booked rooms here thru a third-party (hotwire I think). Other than the usurious $67 valet-only parking fee (NYC is less expensive), everything about the hotel was a pleasant surprise. The lobby is intensely attractive, as is the library, which has a fireplace (real, I think) and overpriced-but-drinkable coffee in the a.m. The restaurant is undergoing a big makeover, so we only had the room service menu in the bar area, but I have to say, the food was top drawer. The rooms are an intriguing mix of modern--lighting, super-low beds, gorgeous bathroom--with old-schools touches. There were some oddities (the closet, sans door, was the size of a small apartment), but I find this character appealing. The wifi worked. I was too lazy for the gym, but there is one. All in all,"
291,Wayne Wayne Wayne!! This man deserves a trophy for best customer service!! Our stay at the ambassador was amazing thanks to the great service and polite staff. Rooms were excellent and very clean. We will definitely be staying here on our future visits to the windy city.
292,Rooms were very clean! Like the overall atmosphere of the hotel. Rooms are pretty modern. Great location for a reasonable price. Thank you to Teresa Quito and the rest of the housekeeping team for a great job!
293,"All main attractions are in walking distance or easy metro access. Rooms are nice and big, beds are comfortable, breakfast offer is sufficient. Staff is friendly and helpful. Pet friendly hotel next to the lake."
294,"The Ambassador Hotel is located in a truly beautiful neighborhood (Gold Coast), yet it’s only minutes from the hustle-bustle of downtown. It’s also very easily walkable from the Ambassador to Lake Michigan (jogging trail along the lake, sunbathing, etc.). The hotel itself is very clean and the service is excellent. The first time we were there we got bumped up to the Penthouse. It was exquisite and the whole place holds a lot of history. This is our go-to place whenever we are in town. "
295,"Location is great, walking distance to the lake and to many other places rooms and bathrooms are very good But what really matters is the great staff they have, all of them really helpful, specially Kay, she was the best!! I need extra help and she was on top of it and did a wonderful job, she is one of a kind They should work on the breakfast, which is terrible, very simple things can improve it totally, again the staff helps to go through a bad breakfast will be back"
296,Nice clean room . We would have liked coffee/tea making facilities in the room . The was very little information about Chicago which  we had to get elsewhere. Other than checking in and out we had no contact with any staff. We didn't use the bar or restaurants
297,"Great location, super friendly helpful staff, clean room, toiletries provided were really nice.  Only disappointments parking is a challenge and no pool/spa.  Do recommend and definitely would stay again."
298,"I am a bit late in writing this review but better late than never.  I stayed here on business from August 11th, 2019 to August 15th, 2019.  The hotel is simply fantastic.  The rooms are absolutely spacious and comfortable.  The location was perfect for my needs.  Safe area to go out and walk in.  Many eateries/restaurants near by that you can walk to.  Everyone at the front desk was friendly.  I may forget some names but Danella, Kenya, and Batista, were all wonderful.  But if I had to choose one favorite thing about this entire trip then I would have to say it was definitely Natalie at the front desk.  This girl is absolutely amazing and extremely aesthetically pleasing to my eyes.....yes, that is a compliment to you Natalie.  She is simply, the most beautiful girl I've ever"
299,"Ambassador East is a charming, soothingly comfortable hotel in beautiful, Gold Coast Chicago. The staff are stellar, and totally responsive, going Beyond the call of duty,to every need and request. My wonderful stay is truly, 'Home Away From Home'."
300,"Stayed here for two nights which was great lovely hotel as far as the room was concerned, food another thing, quite rubbish and expensive and served in very dark lounge or restaurant. The hotel has bags of history as it was, we understand, frequently used in the 40s 50s and 60s by many of the entertainment stars who were travelling from New York to Los Angeles somebody took the trouble of obtaining photographs of theses artists which must have numbered in 100s all very interesting as we understood that the photographs were origionaly displayed in a bar but now, unfortunately, they are mostly displayed in a basement area by the toilets. It is a shame nobody ever thought of adding names to the photographs it was fine for the well know artists but for the lesser known ones they"
301,"I wanted to make last minute plans for my wife's birthday weekend.  Natalie at the front desk and Ishmael at the front door came to my rescue.  They went above and beyond to make our night a memorial one at the Ambassador Chicago.  Natalie came up with the great idea and Ishmael hustled to the store to get the necessities and returned in timely fashion.  Upon my departure, they personally made an effort to wish me well and to make sure if we were pleased with our stay.  The Ambassador Chicago is now on top of my list when looking for a weekend getaway.  I consider it to be my hotel and will definitely recommend it to all of my associates."
302,"The Ambassador Chicago Hotel was probably sleek whenever it opened, but the hotel is extremely tired with a low standard of services.  1) Scratched furniture. 2) Stained furniture -- doesn't help that all the furniture is covered in white slip-over covers. 3) Almost electrical outlets where you would want them, though a small outlet docking station or whatever you call it was at the desk. But nothing by the bed or nightstand. 4) Japanese-style beds that are super low to the floor. 5) Walls that desperately need a fresh paint coat. In some places they have done patch jobs but not painted the full wall. 6) Bathroom tile flooring that needs new grouting. 7) Old door knobs and fixtures that are dilapidated. I'm sure someone thinks these are nice ""historic"" fixtures but they look"
303,"We stayed at the Ambassador while attending a wedding in Chicago.  The location is fantastic,  near all sorts of restaurants and among the most beautiful houses in the city.  We did not have a car, but all our travel was easily accomplished via shirt Lyft or Uber rides.  There is also much to see and do within walking distance.   The room was clean and quiet.  The bed was very comfortable.  We slept well.   This is an old and storied hotel that is well maintained and staffed by well trained professionals.   We felt that the Ambassador delivered good value for our money.  "
304,"This establishment needs to seriously get it together. We booked two rooms. My group came at different check in times. First party checked in at 3:00 and they did not have the room ready until 4:00! Second party checked in at 4:00 and they did not have it ready until 4:30. Check in time is 3:00! For a boutique hotel that has been around for awhile, you need to step your game up significantly considering there are so many other hotels in Chicago. And to be quite frank, I've actually always gotten lucky and been able to check in and get a room BEFORE check in time at majority of hotels I travel to. Also the beds were listed as King beds which we selected and they appear to be queen beds instead. Very disappointed and do not recommend."
305,"Had only one night in Second City for business. Found this gem which I remembered from my early days in Chicago, when there was an Ambassador East and West across the street from each other. Pleasantly surprised by the modern upgrades - comfortable room, nice lobby, friendly staff, reasonable price. The location can’t be beat. Away from the noise, but within a short walk to lakeshore, Michigan Ave, subway, and old town.   My only issue was no coffee in the room. Had to go to the lobby in the morning to buy it from the barista. "
306,"The legendary but tired Ambassador East got the Ian Schrager treatment in 2010 and was rebranded the Public.  It followed the classic Schrager formula of renovating old dowager hotels, creating dazzling public spaces and turning small outdated sleeping rooms into funky-but-chic, design-forward places to lay one's head after the party.  Even the epochal Pump Room, Frank Sinatra's go-to gin mill when he visited Chicago, got Schragerized.   Apparently the new concept was only modestly successful, because Schrager sold out in 2016.  New owners restored the Ambassador name, but maintained the Schrager boutique hotel vibe.  And they shuttered the Pump Room, rebranding it ""Booth One"" (in reference to ... the Pump Room?!), which has subsequently closed.  Are you still with me?  The"
307,"I was here visiting a family member and came to the desk to ask the Agent to call for them and Kay went out of her way to help me. As I waited for my Auntie, Kay (Kenya)bring me a cup of coffee and I believe she may have pay for it of if her own pocket. Just thought it was great to meet and have nice people still around we never tell the good story’s always the bad just want to let the company know that Kay (Kenya) is Awesome and she really care about the Guests"
308,"I stayed at the Ambassador Chicago for 6 nights in March 2019 and, overall, I was quite impressed with this hotel especially considering what I paid for my room The hotel is a good 4 star standard with very nice public areas and fairly recently refurbished bedrooms. The owners have tried to retain as much of the old style charm as they possibly could while still  providing the amenities of a modern hotel My room was very big and quite comfortable. As other reviewers have stated some of the furniture in the room is a bit ""IKEAeske"" , not that there is anything wrong with IKEA furniture I had 2 minor issues with the hotel; - The room is a bit like a shop so there is just so much stuff such as hats etc. left out in the bedroom for you to buy, the management could probably do with"
309,Great hotel. Very nostalgic! Great service. Friendly staff!! It was my birthday and they delivered champagne and chocolate to my room! I would stay there again and also recommend to anyone going to Chicago.
310,My stay at the ambassador Chicago it is a historical hotel located in the best ever part of Chicago which is the Gold Coast the staff is  fabulous .... Thank you Maria. Maldonado Supervisor.   I made reservation for my next visit thank you 😊 namaste
311,I have stayed at the Ambassador many times when it was The Public and always loved the cool chic modern vibe of this historic hotel. So I was curious to see if things have changed. I had a one night stay at the Ambassador in mid July and I was greeted by Maria at the front desk. She was extremely knowledgeable about the hotel and even told me a great story about a Taylor that used to stay there;) Needless to say Maria went above and beyond to exceed my expectations accommodating my requests and arranging a fantastic room with a great view. Overall I think the hotel is even better now that it is Ambassador again. I look forward to my next trip back to Chicago and plan to stay at the Ambassador again. 
